slug,name,type,description,address,lat,lng,neighborhood,city,country,opening_hours,best_arrival_time,price_level,avg_price_eur,dress_code,music_types,crowd_types,vibe_tags,cuisine_tags,reservation_required,walk_in_ok,vip_available,phone,instagram,website,capacity,partner_status,promoted,quality_score,best_nights,active
big-mama-trastevere,Big Mama,live_music,Trastevere blues / jazz cellar — Roman temple of live music,"Vicolo di San Francesco a Ripa, 18, 00153 Roma RM",41.8859,12.4716,Trastevere,rome,IT,"{""tue"":[{""open"":""21:00"",""close"":""01:30""}],""wed"":[{""open"":""21:00"",""close"":""01:30""}],""thu"":[{""open"":""21:00"",""close"":""01:30""}],""fri"":[{""open"":""21:00"",""close"":""02:00""}],""sat"":[{""open"":""21:00"",""close"":""02:00""}]}",21:30,2,30,casual,blues|jazz|rock,locals|international,live_music|local|intimate,,false,true,false,+39 06 581 2551,@bigmamaroma,https://www.bigmama.it,200,none,false,0.9,fri|sat,true
cotton-club-roma,Cotton Club Roma,live_music,Italian jazz heritage venue with a 1920s aesthetic,"Via Bellinzona, 2, 00198 Roma RM",41.921,12.4925,Trieste,rome,IT,"{""wed"":[{""open"":""21:00"",""close"":""01:30""}],""thu"":[{""open"":""21:00"",""close"":""01:30""}],""fri"":[{""open"":""21:00"",""close"":""02:00""}],""sat"":[{""open"":""21:00"",""close"":""02:00""}]}",21:30,2,30,casual,jazz|swing,locals|international,live_music|jazz|intimate,,true,true,false,+39 339 752 5919,@cottonclubroma,https://www.cottonclubroma.com,180,none,false,0.88,fri|sat,true
alexanderplatz-jazz-club,Alexanderplatz Jazz Club,live_music,Roman jazz club with weekly international acts — small and serious,"Via Ostia, 9, 00192 Roma RM",41.9072,12.4509,Prati,rome,IT,"{""tue"":[{""open"":""21:00"",""close"":""01:30""}],""wed"":[{""open"":""21:00"",""close"":""01:30""}],""thu"":[{""open"":""21:00"",""close"":""01:30""}],""fri"":[{""open"":""21:00"",""close"":""02:00""}],""sat"":[{""open"":""21:00"",""close"":""02:00""}],""sun"":[{""open"":""21:00"",""close"":""01:30""}]}",21:30,3,40,elegant|casual,jazz,date_friendly|international,jazz|live_music|elegant,,true,false,false,+39 06 8678 1296,@alexanderplatzjazz,https://www.alexanderplatz.it,150,none,false,0.93,thu|fri|sat,true
fonclea-prati,Fonclea,live_music,Live blues / soul / rock pub — open mic and quality bands,"Via Crescenzio, 82A, 00193 Roma RM",41.9061,12.4623,Prati,rome,IT,"{""mon"":[{""open"":""20:30"",""close"":""02:00""}],""tue"":[{""open"":""20:30"",""close"":""02:00""}],""wed"":[{""open"":""20:30"",""close"":""02:00""}],""thu"":[{""open"":""20:30"",""close"":""02:00""}],""fri"":[{""open"":""20:30"",""close"":""02:30""}],""sat"":[{""open"":""20:30"",""close"":""02:30""}]}",21:30,2,30,casual,rock|blues|soul,locals|international,live_music|local,,false,true,false,+39 06 689 6302,@fonclea_pub,https://www.fonclea.it,200,none,false,0.86,fri|sat,true
trapizzino-trastevere,Trapizzino — Trastevere,late_food,The Roman street food invention — pizza pocket with stews,"Piazza Trilussa, 46, 00153 Roma RM",41.8898,12.4685,Trastevere,rome,IT,"{""mon"":[{""open"":""12:00"",""close"":""01:00""}],""tue"":[{""open"":""12:00"",""close"":""01:00""}],""wed"":[{""open"":""12:00"",""close"":""01:00""}],""thu"":[{""open"":""12:00"",""close"":""01:00""}],""fri"":[{""open"":""12:00"",""close"":""02:00""}],""sat"":[{""open"":""12:00"",""close"":""02:00""}],""sun"":[{""open"":""12:00"",""close"":""01:00""}]}",,1,12,streetwear|casual,,locals|international,budget|late_night|local,roman|street_food,false,true,false,+39 06 5818 1928,@trapizzino,https://www.trapizzino.it,30,none,false,0.91,fri|sat,true
supplì-roma,Supplì Roma,late_food,Best fried rice balls in town — quick stop before or after dinner,"Via di San Francesco a Ripa, 137, 00153 Roma RM",41.8868,12.4724,Trastevere,rome,IT,"{""mon"":[{""open"":""09:00"",""close"":""22:30""}],""tue"":[{""open"":""09:00"",""close"":""22:30""}],""wed"":[{""open"":""09:00"",""close"":""22:30""}],""thu"":[{""open"":""09:00"",""close"":""22:30""}],""fri"":[{""open"":""09:00"",""close"":""22:30""}],""sat"":[{""open"":""09:00"",""close"":""22:30""}]}",,1,10,streetwear|casual,,locals|tourists,budget|quick_bite,roman|street_food,false,true,false,+39 06 589 7110,,,30,none,false,0.86,thu|fri|sat,true
bonci-pizzarium,Pizzarium Bonci,late_food,Gabriele Bonci's pizza al taglio — arguably the best slice in Rome,"Via della Meloria, 43, 00136 Roma RM",41.907,12.4396,Aurelio,rome,IT,"{""mon"":[{""open"":""11:00"",""close"":""22:00""}],""tue"":[{""open"":""11:00"",""close"":""22:00""}],""wed"":[{""open"":""11:00"",""close"":""22:00""}],""thu"":[{""open"":""11:00"",""close"":""22:00""}],""fri"":[{""open"":""11:00"",""close"":""22:00""}],""sat"":[{""open"":""11:00"",""close"":""22:00""}],""sun"":[{""open"":""11:00"",""close"":""22:00""}]}",,2,18,casual,,foodies|tourists,foodies|trendy,pizza,false,true,false,+39 06 3974 5416,@bonci_official,https://bonci.it,25,none,false,0.95,thu|fri|sat,true
pizzeria-ai-marmi,Pizzeria Ai Marmi,late_food,Trastevere pizzeria nicknamed 'l'obitorio' — thin Roman pizzas served fast,"Viale di Trastevere, 53, 00153 Roma RM",41.8851,12.4715,Trastevere,rome,IT,"{""mon"":[{""open"":""19:00"",""close"":""01:00""}],""thu"":[{""open"":""19:00"",""close"":""01:00""}],""fri"":[{""open"":""19:00"",""close"":""01:30""}],""sat"":[{""open"":""19:00"",""close"":""01:30""}],""sun"":[{""open"":""19:00"",""close"":""01:00""}]}",,1,18,casual,,locals|groups,lively|local|late_night,pizza|roman,false,true,false,+39 06 580 0919,,,80,none,false,0.85,fri|sat,true
forno-roscioli,Antico Forno Roscioli,late_food,Cult bakery for pizza al taglio and supplì — daytime classic,"Via dei Chiavari, 34, 00186 Roma RM",41.8949,12.4732,Centro,rome,IT,"{""mon"":[{""open"":""07:00"",""close"":""20:00""}],""tue"":[{""open"":""07:00"",""close"":""20:00""}],""wed"":[{""open"":""07:00"",""close"":""20:00""}],""thu"":[{""open"":""07:00"",""close"":""20:00""}],""fri"":[{""open"":""07:00"",""close"":""20:00""}],""sat"":[{""open"":""07:00"",""close"":""20:00""}]}",,1,10,casual,,locals|tourists,local|budget,pizza_al_taglio|bakery,false,true,false,+39 06 686 4045,@anticofornoroscioli,https://www.anticofornoroscioli.it,15,none,false,0.92,thu|fri|sat,true
pinsere-rome,Pinsere,late_food,Pinsa romana — the lighter Roman take on pizza,"Via Flavia, 98, 00187 Roma RM",41.9075,12.4985,Centro,rome,IT,"{""mon"":[{""open"":""09:00"",""close"":""21:00""}],""tue"":[{""open"":""09:00"",""close"":""21:00""}],""wed"":[{""open"":""09:00"",""close"":""21:00""}],""thu"":[{""open"":""09:00"",""close"":""21:00""}],""fri"":[{""open"":""09:00"",""close"":""21:00""}],""sat"":[{""open"":""09:00"",""close"":""21:00""}]}",,1,12,casual,,locals|tourists,budget|quick_bite,pinsa|pizza,false,true,false,+39 06 4202 0924,@pinserepinsa,https://www.pinsere.it,20,none,false,0.86,thu|fri|sat,true
