slug,name,type,description,address,lat,lng,neighborhood,city,country,opening_hours,best_arrival_time,price_level,avg_price_eur,dress_code,music_types,crowd_types,vibe_tags,cuisine_tags,reservation_required,walk_in_ok,vip_available,guestlist_required,phone,whatsapp,instagram,website,capacity,partner_status,promoted,quality_score,best_nights,active,admin_notes
pierluigi-rome,Pierluigi,restaurant,Historic Roman seafood institution off Campo de' Fiori; Hollywood crowd and politicians,"Piazza de' Ricci, 144, 00186 Roma RM",41.8965,12.471,Centro,rome,IT,"{""mon"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""tue"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""wed"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""thu"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""fri"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""sat"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""sun"":[{""open"":""19:30"",""close"":""23:30""}]}",20:30,4,120,elegant,jazz|lounge,date_friendly|international|couples,elegant|date_friendly|romantic|luxury,seafood|italian,true,false,true,false,+39 06 6868717,,@pierluigi_ristoranti,https://www.pierluigi.it,90,none,false,0.94,fri|sat,true,Verified Apr 2026 — public Google listing
roscioli-salumeria,Roscioli Salumeria con Cucina,restaurant,Iconic Roman trattoria & salumeria; carbonara legend,"Via dei Giubbonari, 21/22, 00186 Roma RM",41.895,12.4733,Centro,rome,IT,"{""mon"":[{""open"":""12:30"",""close"":""16:00""},{""open"":""19:00"",""close"":""00:00""}],""tue"":[{""open"":""12:30"",""close"":""16:00""},{""open"":""19:00"",""close"":""00:00""}],""wed"":[{""open"":""12:30"",""close"":""16:00""},{""open"":""19:00"",""close"":""00:00""}],""thu"":[{""open"":""12:30"",""close"":""16:00""},{""open"":""19:00"",""close"":""00:00""}],""fri"":[{""open"":""12:30"",""close"":""16:00""},{""open"":""19:00"",""close"":""00:00""}],""sat"":[{""open"":""12:30"",""close"":""16:00""},{""open"":""19:00"",""close"":""00:00""}]}",20:00,3,85,casual,lounge,date_friendly|international|foodies,local_authentic|trendy|romantic,italian|wine_bar,true,false,false,false,+39 06 6875287,,@salumeriaroscioli,https://www.salumeriaroscioli.com,70,none,false,0.93,fri|sat,true,
pianostrada,Pianostrada Laboratorio di Cucina,restaurant,Modern Italian by 4 women in Trastevere; vegetable-forward and stylish,"Via delle Zoccolette, 22, 00186 Roma RM",41.8929,12.473,Centro,rome,IT,"{""tue"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""wed"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""thu"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""fri"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""sat"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}]}",20:30,3,70,casual,lounge,date_friendly|international,trendy|romantic|stylish,italian|modern,true,false,false,false,+39 06 8957 2296,,@pianostrada,,55,none,false,0.9,fri|sat,true,
la-pergola,La Pergola — Rome Cavalieri,restaurant,Heinz Beck's three-Michelin-star rooftop temple,"Via Alberto Cadlolo, 101, 00136 Roma RM",41.9229,12.4427,Monte Mario,rome,IT,"{""tue"":[{""open"":""19:30"",""close"":""23:00""}],""wed"":[{""open"":""19:30"",""close"":""23:00""}],""thu"":[{""open"":""19:30"",""close"":""23:00""}],""fri"":[{""open"":""19:30"",""close"":""23:00""}],""sat"":[{""open"":""19:30"",""close"":""23:00""}]}",20:00,4,300,luxury,lounge,business|celebration|vip|couples,luxury|elegant|romantic|michelin|rooftop_view,italian|michelin,true,false,true,false,+39 06 35092152,,@romecavalieri,https://romecavalieri.com/lapergola,60,premium,true,0.99,fri|sat,true,
da-cesare-al-casaletto,Da Cesare al Casaletto,restaurant,Cult Roman trattoria — perfect cacio e pepe and Saltimbocca,"Via del Casaletto, 45, 00151 Roma RM",41.8722,12.435,Monteverde,rome,IT,"{""mon"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""tue"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""thu"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""fri"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""sat"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""sun"":[{""open"":""12:30"",""close"":""15:00""}]}",20:00,2,45,casual,,locals|foodies,local_authentic|hidden_gem,roman|trattoria,true,true,false,false,+39 06 536015,,,https://www.trattoriadacesarealcasaletto.com,55,none,false,0.92,thu|fri|sat,true,
da-enzo-al-29,Da Enzo al 29,restaurant,Quintessential Trastevere trattoria — book weeks ahead,"Via dei Vascellari, 29, 00153 Roma RM",41.8881,12.4769,Trastevere,rome,IT,"{""mon"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:00"",""close"":""23:00""}],""tue"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:00"",""close"":""23:00""}],""wed"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:00"",""close"":""23:00""}],""thu"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:00"",""close"":""23:00""}],""fri"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:00"",""close"":""23:00""}],""sat"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:00"",""close"":""23:00""}]}",19:30,2,40,casual,,date_friendly|international|tourists,local_authentic|tourist_friendly|romantic,roman|carbonara,true,false,false,false,+39 06 581 2260,,@daenzoal29,https://daenzoal29.com,40,none,false,0.9,fri|sat,true,
felice-a-testaccio,Felice a Testaccio,restaurant,Working-class Testaccio classic — tonnarelli cacio e pepe theatre,"Via Mastro Giorgio, 29, 00153 Roma RM",41.8786,12.4748,Testaccio,rome,IT,"{""mon"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""tue"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""wed"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""thu"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""fri"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""sat"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}],""sun"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:30"",""close"":""23:30""}]}",20:00,2,45,casual,,foodies|groups,local_authentic|lively,roman|cacio_e_pepe,true,false,false,false,+39 06 574 6800,,@feliceatestaccio,https://feliceatestaccio.com,90,none,false,0.92,fri|sat,true,
glass-hostaria,Glass Hostaria,restaurant,One Michelin star in the heart of Trastevere — chef Cristina Bowerman,"Vicolo del Cinque, 58, 00153 Roma RM",41.8893,12.4691,Trastevere,rome,IT,"{""tue"":[{""open"":""20:00"",""close"":""23:00""}],""wed"":[{""open"":""20:00"",""close"":""23:00""}],""thu"":[{""open"":""20:00"",""close"":""23:00""}],""fri"":[{""open"":""20:00"",""close"":""23:00""}],""sat"":[{""open"":""20:00"",""close"":""23:00""}],""sun"":[{""open"":""20:00"",""close"":""23:00""}]}",20:30,4,130,elegant,lounge,date_friendly|couples,luxury|romantic|michelin,italian|michelin,true,false,false,false,+39 06 5833 5903,,@glasshostaria,https://www.glasshostaria.it,40,none,false,0.95,fri|sat,true,
il-pagliaccio,Il Pagliaccio,restaurant,Two Michelin stars by chef Anthony Genovese — refined and adventurous,"Via dei Banchi Vecchi, 129/A, 00186 Roma RM",41.8983,12.4685,Centro,rome,IT,"{""tue"":[{""open"":""19:30"",""close"":""22:30""}],""wed"":[{""open"":""19:30"",""close"":""22:30""}],""thu"":[{""open"":""19:30"",""close"":""22:30""}],""fri"":[{""open"":""19:30"",""close"":""22:30""}],""sat"":[{""open"":""19:30"",""close"":""22:30""}]}",20:00,4,200,elegant,lounge,business|celebration,luxury|michelin|elegant,italian|michelin,true,false,true,false,+39 06 6880 9595,,@ilpagliaccioroma,https://ristoranteilpagliaccio.com,30,none,false,0.96,fri|sat,true,
zuma-rome,Zuma Roma,restaurant,Modern Japanese izakaya & robata on Palazzo Fendi rooftop,"Via della Fontanella di Borghese, 48, 00186 Roma RM",41.9039,12.479,Centro,rome,IT,"{""mon"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:00"",""close"":""00:00""}],""tue"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:00"",""close"":""00:00""}],""wed"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:00"",""close"":""00:00""}],""thu"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:00"",""close"":""00:00""}],""fri"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:00"",""close"":""01:00""}],""sat"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:00"",""close"":""01:00""}],""sun"":[{""open"":""12:30"",""close"":""15:00""},{""open"":""19:00"",""close"":""00:00""}]}",20:30,4,150,elegant,lounge,business|international|celebrities,luxury|trendy|international|rooftop_view,japanese|robata,true,false,true,false,+39 06 9926 6622,,@zumaroma,https://zumarestaurant.com/locations/rome,150,premium,true,0.96,fri|sat,true,
